epoch,train_loss,train_rmsd,train_mdn,val_loss,val_rmsd,val_mdn,seconds
344,3.42251,2.42808,0.99443,6.10833,4.87761,1.23071,81.6
345,3.34713,2.35247,0.99467,5.99840,4.75735,1.24105,81.3
346,3.40258,2.40833,0.99425,6.00471,4.77016,1.23455,81.1
347,3.39314,2.39974,0.99340,5.93833,4.70475,1.23358,81.4
348,3.33145,2.33935,0.99210,6.07933,4.84140,1.23793,81.5
349,3.41903,2.41936,0.99967,6.12394,4.88088,1.24306,81.7
350,3.35923,2.36577,0.99346,5.96328,4.72576,1.23752,81.9
351,3.36939,2.37817,0.99122,6.20598,4.96049,1.24548,82.3
352,3.37533,2.38485,0.99047,6.07854,4.85327,1.22528,81.7
353,3.33721,2.34361,0.99360,6.10125,4.86327,1.23798,81.8
354,3.31686,2.32549,0.99137,5.96565,4.72164,1.24401,81.6
355,3.37813,2.38104,0.99709,6.02522,4.77612,1.24910,81.0
356,3.29077,2.29904,0.99173,5.92188,4.69305,1.22883,81.0
357,3.29688,2.30727,0.98961,5.91143,4.67872,1.23272,81.4
358,3.28111,2.29276,0.98834,5.95113,4.72702,1.22412,81.1
359,3.38318,2.39004,0.99314,5.88371,4.66010,1.22361,81.1
360,3.37992,2.38836,0.99156,6.10102,4.86291,1.23811,81.0
361,3.33471,2.34262,0.99209,5.93418,4.71514,1.21903,80.7
362,3.35632,2.36487,0.99145,5.97273,4.74597,1.22675,80.8
363,3.34881,2.35699,0.99182,5.99255,4.76386,1.22869,80.7
364,3.35954,2.36849,0.99105,6.03513,4.80865,1.22648,87.2
365,3.36757,2.37462,0.99295,5.99221,4.76136,1.23085,82.4
366,3.35522,2.36114,0.99408,6.02945,4.80630,1.22315,81.0
367,3.30724,2.31463,0.99261,5.93356,4.70051,1.23306,81.2
368,3.29701,2.31414,0.98287,5.97758,4.75705,1.22053,81.5
369,3.32295,2.33511,0.98785,6.00447,4.77472,1.22975,81.6
370,3.38550,2.39846,0.98703,5.86900,4.64475,1.22425,81.0
371,3.33344,2.34294,0.99049,6.04225,4.82094,1.22131,81.5
372,3.27192,2.28214,0.98978,6.13329,4.90712,1.22617,81.5
